stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
9020204,,Sophie-Charlotten-Str. (Berlin),,52.5188190,13.2867980,,,0,
9020206,,Pulsstr. (Berlin),,52.5243230,13.2856180,,,0,
9020207,,Tegeler Weg/S Jungfernheide (Berlin),,52.5294110,13.2962440,,,0,
9020208,,Osnabrücker Str. (Berlin),,52.5269180,13.2973930,,,0,
9020252,,Schlossbrücke (Berlin),,52.5229450,13.2999140,,,0,
9020271,,Mollwitzstr. (Berlin),,52.5221720,13.2859090,,,0,
9020272,,Schlosspark-Klinik (Berlin),,52.5228420,13.2887420,,,0,
9020281,,Goerdelersteg (Berlin),,52.5321810,13.3059050,,,0,
9021102,,Marchbrücke (Berlin),,52.5171530,13.3237560,,,0,
9021151,,Marchstr. (Berlin),,52.5134990,13.3226440,,,0,
9021152,,Franklinstr. (Berlin),,52.5220470,13.3281460,,,0,
9021181,,Helmholtzstr. (Berlin),,52.5208300,13.3212440,,,0,
